year	inflation
2017	1.4 %
2016 	3.80 %
2015	 0.73 %
2014	 0.76 %
2013	 1.50 %
2012 	1.74 %
2011 	2.96 %
2010 	1.50 %
2009 	2.72 %
2008 	0.09 %
2007 	4.08 % 
2006 	2.54 % 
2005 	3.42 %
2004 	3.26 % 
2003 	1.88 % 
2002 	2.38 %
2001 	1.55 %
2000 	3.39 % 
1999 	2.68 %
1998 	1.61 %
1997 	1.70 %
1996 	3.32 % 
1995 	2.54 %
1994 	2.67 %
1993 	2.75 % 
1992 	2.90 %
1991 	3.06 %
1990 	6.11 %
1989 	4.65 %
1988 	4.42 %
1987 	4.43 %
1984 	3.95 %
1983 	3.79 %
1982 	3.83 %
1981 	8.92 %
1980 	12.52 %
1979 	13.29 %
1978 	9.02 %
1977 	6.70 %
1976 	4.86 %
1975 	6.94 % 
1974 	12.34 %
1973 	8.71 %
1972 	3.41 %
1971 	3.27 %
1970 	5.57 %
